Variant: 7
Itr|    z(0)|    y(0)|               Delta
  0.97812|  1.97825|  1.97833|  0.97267|  8.22384783261e-05|
  0.98125|  1.98130|  1.98138|  0.97966|  8.22987067997e-05|
  0.98437|  1.98437|  1.98445|  0.98568|  8.23581226921e-05|
  0.98750|  1.98746|  1.98754|  0.99071|  8.24167552123e-05|
  0.99062|  1.99056|  1.99064|  0.99470|  8.24746327648e-05|
  0.99375|  1.99367|  1.99375|  0.99761|  8.25317829678e-05|
  0.99687|  1.99679|  1.99688|  0.99938|  8.25882326552e-05|
  1.00000|  1.99992|  2.00000|  0.99998|  8.26440078912e-05|

The absolute value of the maximum error: 0.00008264401

Finite difference scheme method (explicit scheme)
xI = 0.20
N = 8
    t  |       delta          x:  0.00000|  0.12500|  0.25000|  0.37500|  0.50000|  0.62500|  0.75000|  0.87500|  1.00000|
  0.020|  0.000000000000e+00  |   0.00000|  0.13023|  0.25967|  0.38763|  0.51367|  0.63763|  0.75967|  0.88023|  1.00000|
  0.039|  6.738982679222e-06  |   0.00000|  0.13547|  0.26934|  0.40027|  0.52735|  0.65027|  0.76934|  0.88547|  1.00000|
  0.059|  1.996046078179e-05  |   0.00000|  0.14070|  0.27902|  0.41291|  0.54104|  0.66291|  0.77902|  0.89070|  1.00000|
  0.078|  3.941770901661e-05  |   0.00000|  0.14594|  0.28870|  0.42556|  0.55473|  0.67556|  0.78870|  0.89594|  1.00000|
  0.098|  6.487339251493e-05  |   0.00000|  0.15118|  0.29838|  0.43822|  0.56842|  0.68822|  0.79838|  0.90118|  1.00000|
  0.117|  9.609920942844e-05  |   0.00000|  0.15643|  0.30807|  0.45088|  0.58213|  0.70088|  0.80807|  0.90643|  1.00000|
  0.137|  0.0001328755471306  |   0.00000|  0.16167|  0.31777|  0.46354|  0.59584|  0.71354|  0.81777|  0.91167|  1.00000|
  0.156|  0.0001749911515029  |   0.00000|  0.16692|  0.32746|  0.47621|  0.60955|  0.72621|  0.82746|  0.91692|  1.00000|
  0.176|  0.0002222428088077  |   0.00000|  0.17217|  0.33716|  0.48889|  0.62327|  0.73889|  0.83716|  0.92217|  1.00000|
  0.195|  0.0002744350396700  |   0.00000|  0.17743|  0.34687|  0.50157|  0.63699|  0.75157|  0.84687|  0.92743|  1.00000|
  0.215|  0.0003313798047053  |   0.00000|  0.18268|  0.35658|  0.51425|  0.65072|  0.76425|  0.85658|  0.93268|  1.00000|
