Variant: 5
Itr|    z(0)|    y(0)|               Delta
  0.95000|  1.95182|  1.95192|  0.89084|  9.89404089495e-05|
  0.95625|  1.95746|  1.95756|  0.91415|  9.89690095887e-05|
  0.96250|  1.96324|  1.96334|  0.93522|  9.89977163042e-05|
  0.96562|  1.96618|  1.96628|  0.94484|  9.90121102846e-05|
  0.96875|  1.96915|  1.96925|  0.95381|  9.90265317729e-05|
  0.97187|  1.97214|  1.97224|  0.96209|  9.90409810719e-05|
  0.97500|  1.97516|  1.97526|  0.96966|  9.90554584714e-05|
  0.97812|  1.97820|  1.97830|  0.97646|  9.90699642458e-05|
  0.98125|  1.98126|  1.98136|  0.98248|  9.90844986548e-05|
  0.98437|  1.98434|  1.98444|  0.98768|  9.90990619414e-05|
  0.98750|  1.98743|  1.98753|  0.99201|  9.91136543342e-05|
  0.99062|  1.99054|  1.99064|  0.99545|  9.91282760412e-05|
  0.99375|  1.99366|  1.99375|  0.99795|  9.91429272554e-05|
  0.99687|  1.99678|  1.99688|  0.99948|  9.91576081490e-05|
  1.00000|  1.99990|  2.00000|  1.00000|  9.91723188759e-05|

The absolute value of the maximum error: 0.00009917232

Finite difference scheme method (explicit scheme)
xI = 0.20
N = 8
    t  |       delta          x:  0.00000|  0.12500|  0.25000|  0.37500|  0.50000|  0.62500|  0.75000|  0.87500|  1.00000|
  0.020|  0.000000000000e+00  |   0.00000|  0.12874|  0.25691|  0.38402|  0.50977|  0.63402|  0.75691|  0.87874|  1.00000|
  0.039|  4.813559056571e-06  |   0.00000|  0.13248|  0.26381|  0.39305|  0.51954|  0.64305|  0.76381|  0.88248|  1.00000|
  0.059|  1.425747198702e-05  |   0.00000|  0.13622|  0.27073|  0.40208|  0.52931|  0.65208|  0.77073|  0.88622|  1.00000|
  0.078|  2.815550644053e-05  |   0.00000|  0.13996|  0.27764|  0.41112|  0.53909|  0.66112|  0.77764|  0.88996|  1.00000|
  0.098|  4.633813751076e-05  |   0.00000|  0.14370|  0.28456|  0.42015|  0.54887|  0.67015|  0.78456|  0.89370|  1.00000|
  0.117|  6.864229244896e-05  |   0.00000|  0.14745|  0.29148|  0.42920|  0.55866|  0.67920|  0.79148|  0.89745|  1.00000|
  0.137|  9.491110509341e-05  |   0.00000|  0.15120|  0.29840|  0.43824|  0.56845|  0.68824|  0.79840|  0.90120|  1.00000|
  0.156|  0.0001249936796450  |   0.00000|  0.15494|  0.30533|  0.44729|  0.57825|  0.69729|  0.80533|  0.90494|  1.00000|
  0.176|  0.0001587448634341  |   0.00000|  0.15870|  0.31226|  0.45635|  0.58805|  0.70635|  0.81226|  0.90870|  1.00000|
  0.195|  0.0001960250283358  |   0.00000|  0.16245|  0.31919|  0.46540|  0.59785|  0.71540|  0.81919|  0.91245|  1.00000|
  0.215|  0.0002366998605039  |   0.00000|  0.16620|  0.32613|  0.47446|  0.60766|  0.72446|  0.82613|  0.91620|  1.00000|
  0.234|  0.0002806401581087  |   0.00000|  0.16995|  0.33306|  0.48353|  0.61747|  0.73353|  0.83306|  0.91995|  1.00000|
  0.254|  0.0003277216367725  |   0.00000|  0.17371|  0.34000|  0.49259|  0.62728|  0.74259|  0.84000|  0.92371|  1.00000|
  0.273|  0.0003778247424101  |   0.00000|  0.17746|  0.34694|  0.50166|  0.63710|  0.75166|  0.84694|  0.92746|  1.00000|
